"indic_sb,nace_r2,geo\time"	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008
"V97120,R_S,FI1C"	5.86	5.07	4.37	5.27	4.31	6.32	7.36	: 	: 	: 
"V97120,R_S,FI1C1"	5.87	4.95	4.85	5.17	4.95	7.19	8.83	: 	: 	: 
"V97120,R_S,FI1C2"	5.83	5.78	3.89	5.99	3.53	6.17	6.4	: 	: 	: 
"V97120,R_S,FI1C3"	5.68	4.88	4.11	5.18	4.45	5.74	6.47	: 	: 	: 
"V97120,R_S,FI1C4"	6.64	5.47	3.97	5.22	3.58	4.96	6.61	: 	: 	: 
"V97120,R_S,FI1C5"	5.13	4.14	4.04	4.81	3.29	5.38	4.48	: 	: 	: 
"V97120,R_S,FI1D"	5.05	4.03	4.44	4.91	3.69	5.47	5.17	: 	: 	: 
"V97120,R_S,FI1D1"	5.16	3.68	4.16	5.05	3.64	6.28	4.25	: 	: 	: 
"V97120,R_S,FI1D2"	4.41	3.41	4.31	4.46	2.32	4.67	4.22	: 	: 	: 
"V97120,R_S,FI1D3"	5	4.53	4.81	4.98	3.78	4.71	4.82	: 	: 	: 
"V97120,R_S,FI1D4"	: 	: 	4.05	4.33	3.62	5.55	5.42	: 	: 	: 
"V97120,R_S,FI1D5"	6.54	3.21	5.68	9.7	4.12	8.37	7.04	: 	: 	: 
"V97120,R_S,FI1D6"	: 	: 	5.22	4.84	4.56	5.83	6.23	: 	: 	: 
"V97120,R_S,FI1D7"	4.17	3.83	3.56	4.19	3.83	4.96	5.06	: 	: 	: 
"V97120,R_S,FI1D8"	3.96	5.7	4.14	4.11	3.36	: 	: 	: 	: 	: 
"V97120,R_S,FI1D9"	5.97	4.42	4.87	4.88	4.72	: 	: 	: 	: 	: 
"V97120,R_S,FI2"	4.69	4.55	5.03	4.41	2.38	3.9	4.6	: 	: 	: 
"V97120,R_S,FI20"	4.69	4.55	5.03	4.41	2.38	3.9	4.6	: 	: 	: 
"V97120,R_S,FI200"	4.69	4.55	5.03	4.41	2.38	3.9	4.6	: 	: 	: 
"V97120,R_S,FIZ"	5.73	5.16	7.18	8.73	8.41	16.21	12.33	: 	: 	: 
"V97120,R_S,FIZZ"	5.73	5.16	7.18	8.73	8.41	16.21	12.33	: 	: 	: 
"V97120,R_S,FIZZZ"	5.73	5.16	7.18	8.73	8.41	16.21	12.33	: 	: 	: 
"V97120,R_S,FR"	6	5.93	5.93	6.64	6.09	6.29	6.74	: 	: 	: 
"V97120,R_S,FR1"	5	4.98	4.85	5.39	5.21	5.06	5.25	: 	: 	: 
"V97120,R_S,FR10"	5	4.98	4.85	5.39	5.21	5.06	5.25	: 	: 	: 
"V97120,R_S,FR101"	4	4.21	4.12	4.5	4.11	4	4	: 	: 	: 
"V97120,R_S,FR102"	3	3.55	3.69	4.31	3.92	4.42	4.14	: 	: 	: 
"V97120,R_S,FR103"	6	6.17	5.55	6.76	7.36	6.67	6.93	: 	: 	: 
"V97120,R_S,FR104"	7	6.34	6.07	7.52	7.85	6.79	6.42	: 	: 	: 
"V97120,R_S,FR105"	5	4.46	4	4.21	4.41	3.76	4.4	: 	: 	: 
"V97120,R_S,FR106"	8	7.44	7.34	8.13	9.05	8.39	9.32	: 	: 	: 
"V97120,R_S,FR107"	8	7.14	7.64	8.19	7.51	7.23	8.11	: 	: 	: 
"V97120,R_S,FR108"	7	6.34	6.43	6.89	6.48	7.81	8.67	: 	: 	: 
"V97120,R_S,FR2"	: 	: 	5.7	6.59	5.93	6.31	7.1	: 	: 	: 
"V97120,R_S,FR21"	: 	: 	5.64	7.4	7.37	7.3	8.16	: 	: 	: 
"V97120,R_S,FR211"	: 	: 	6.19	8.82	9.15	7.14	10.88	: 	: 	: 
"V97120,R_S,FR212"	: 	: 	5.72	6.92	6.58	7.68	8.73	: 	: 	: 
"V97120,R_S,FR213"	: 	: 	5.65	6.89	6.83	7.06	6.83	: 	: 	: 
"V97120,R_S,FR214"	: 	: 	4.56	8.16	8.27	7.83	8.08	: 	: 	: 
"V97120,R_S,FR22"	: 	: 	6.32	6.82	6.73	6.39	7.15	: 	: 	: 
"V97120,R_S,FR221"	: 	: 	6.94	8.32	6.51	5.86	7.35	: 	: 	: 
"V97120,R_S,FR222"	: 	: 	6.17	6.23	7.48	6.43	7.35	: 	: 	: 
"V97120,R_S,FR223"	: 	: 	6.06	6.55	5.63	6.82	6.66	: 	: 	: 
"V97120,R_S,FR23"	: 	: 	5.91	6.4	5.86	6.31	7.49	: 	: 	: 
"V97120,R_S,FR231"	: 	: 	6.76	8.38	6.63	7.78	9.55	: 	: 	: 
"V97120,R_S,FR232"	: 	: 	5.56	5.54	5.54	5.73	6.68	: 	: 	: 
"V97120,R_S,FR24"	: 	: 	6.06	7.66	5.6	6.9	7.23	: 	: 	: 
"V97120,R_S,FR241"	: 	: 	7.23	7.72	5.03	7.02	: c	: 	: 	: 
"V97120,R_S,FR242"	: 	: 	5.97	7.85	6.86	8.61	9.47	: 	: 	: 
"V97120,R_S,FR243"	: 	: 	5.83	6.66	5.76	6.32	: c	: 	: 	: 
"V97120,R_S,FR244"	: 	: 	6.54	7.58	5.22	6.37	7.12	: 	: 	: 
"V97120,R_S,FR245"	: 	: 	4.46	5.7	4.34	5.99	6.1	: 	: 	: 
"V97120,R_S,FR246"	: 	: 	6.19	9.04	6.11	7.01	7.31	: 	: 	: 
"V97120,R_S,FR25"	: 	: 	4.72	5.37	5.19	5.1	6	: 	: 	: 
"V97120,R_S,FR251"	: 	: 	4.46	4.91	4.67	4.73	5.34	: 	: 	: 
"V97120,R_S,FR252"	: 	: 	4.9	5.56	6.18	5.37	6.84	: 	: 	: 
"V97120,R_S,FR253"	: 	: 	5.35	6.72	5.38	5.98	6.95	: 	: 	: 
"V97120,R_S,FR26"	: 	: 	5.37	5.64	5.4	5.91	6.83	: 	: 	: 
"V97120,R_S,FR261"	: 	: 	5.15	5.65	5.35	5.52	6.51	: 	: 	: 
"V97120,R_S,FR262"	: 	: 	4.11	5.94	5.47	6.81	6.19	: 	: 	: 
"V97120,R_S,FR263"	: 	: 	5.83	5.69	5.06	5.89	7.82	: 	: 	: 
"V97120,R_S,FR264"	: 	: 	5.74	5.38	5.97	6.09	6.21	: 	: 	: 
"V97120,R_S,FR3"	: 	: 	6.2	7.11	6.18	6.25	6.61	: 	: 	: 
"V97120,R_S,FR30"	: 	: 	6.2	7.11	6.18	6.25	6.61	: 	: 	: 
"V97120,R_S,FR301"	: 	: 	6.36	7.24	6.35	6.3	6.55	: 	: 	: 
"V97120,R_S,FR302"	: 	: 	5.92	6.88	5.88	6.16	6.72	: 	: 	: 
"V97120,R_S,FR4"	: 	: 	5.91	7.11	6.71	6.54	7.39	: 	: 	: 
"V97120,R_S,FR41"	: 	: 	6.3	7.6	6.69	6.74	7.65	: 	: 	: 
"V97120,R_S,FR411"	: 	: 	6.52	8.03	5.92	6.39	: c	: 	: 	: 
"V97120,R_S,FR412"	: 	: 	6.01	8.27	6.51	9.1	: c	: 	: 	: 
"V97120,R_S,FR413"	: 	: 	6.25	7.45	7.27	6.84	7.74	: 	: 	: 
"V97120,R_S,FR414"	: 	: 	6.15	7.03	6.44	6.1	: c	: 	: 	: 
"V97120,R_S,FR42"	: 	: 	5.25	6.7	6.73	6.39	6.85	: 	: 	: 
"V97120,R_S,FR421"	: 	: 	5.53	6.84	7.06	6.3	6.69	: 	: 	: 
"V97120,R_S,FR422"	: 	: 	4.86	6.5	6.26	6.52	7.07	: 	: 	: 
"V97120,R_S,FR43"	: 	: 	6.39	6.92	6.73	6.46	7.86	: 	: 	: 
"V97120,R_S,FR431"	: 	: 	6.55	7.07	6.6	5.93	8.05	: 	: 	: 
"V97120,R_S,FR432"	: 	: 	6.44	6.65	5.92	6.99	8.21	: 	: 	: 
"V97120,R_S,FR433"	: 	: 	5.9	6.67	7.13	6.46	6.97	: 	: 	: 
"V97120,R_S,FR434"	: 	: 	6.37	7.25	8.28	7.78	7.59	: 	: 	: 
"V97120,R_S,FR5"	: 	: 	5.74	6.52	5.63	5.48	5.99	: 	: 	: 
"V97120,R_S,FR51"	: 	: 	5.75	6.66	5.5	5.63	6	: 	: 	: 
"V97120,R_S,FR511"	: 	: 	6.1	6.99	5.92	5.8	6.18	: 	: 	: 
"V97120,R_S,FR512"	: 	: 	6.32	6.65	4.59	5.84	6.13	: 	: 	: 
"V97120,R_S,FR513"	: 	: 	4.24	6.8	4.97	4.96	4.86	: 	: 	: 
"V97120,R_S,FR514"	: 	: 	4.97	5.56	4.97	5.17	5.83	: 	: 	: 
"V97120,R_S,FR515"	: 	: 	5.64	6.78	6.24	5.7	6.12	: 	: 	: 
"V97120,R_S,FR52"	: 	: 	5.86	6.36	5.43	5.16	5.67	: 	: 	: 
"V97120,R_S,FR521"	: 	: 	5.13	5.94	4.74	5.01	4.81	: 	: 	: 
"V97120,R_S,FR522"	: 	: 	5.78	5.95	5	4.34	5.11	: 	: 	: 
"V97120,R_S,FR523"	: 	: 	6.44	7.37	6.32	5.33	6.02	: 	: 	: 
"V97120,R_S,FR524"	: 	: 	5.8	5.9	5.34	6.01	6.6	: 	: 	: 
"V97120,R_S,FR53"	: 	: 	5.53	6.55	6.19	5.75	6.51	: 	: 	: 
"V97120,R_S,FR531"	: 	: 	5.57	6.83	6.08	5.74	7.44	: 	: 	: 
"V97120,R_S,FR532"	: 	: 	6.63	7.73	7.52	7.25	7.69	: 	: 	: 
"V97120,R_S,FR533"	: 	: 	4.05	4.74	3.92	: c	4.62	: 	: 	: 
"V97120,R_S,FR534"	: 	: 	4.99	5.95	6.11	: c	5.76	: 	: 	: 
"V97120,R_S,FR6"	: 	: 	6.7	7.5	6.87	7.11	7.32	: 	: 	: 
"V97120,R_S,FR61"	: 	: 	6.88	8.04	7.2	7.14	7.67	: 	: 	: 
"V97120,R_S,FR611"	: 	: 	6.14	7.54	5.77	6.96	6.86	: 	: 	: 
"V97120,R_S,FR612"	: 	: 	7.83	9.34	8.53	8.08	8.71	: 	: 	: 
"V97120,R_S,FR613"	: 	: 	6.2	7.81	6.3	7.18	8.08	: 	: 	: 
"V97120,R_S,FR614"	: 	: 	4.73	6.39	6.17	6.89	7.37	: 	: 	: 
"V97120,R_S,FR615"	: 	: 	6.59	6.41	6.21	5.44	5.99	: 	: 	: 
"V97120,R_S,FR62"	: 	: 	6.67	6.75	6.51	7.28	7.37	: 	: 	: 
"V97120,R_S,FR621"	: 	: 	6.17	6.67	6.24	8.76	: c	: 	: 	: 
"V97120,R_S,FR622"	: 	: 	5.83	5.92	7.09	8.32	6.94	: 	: 	: 
"V97120,R_S,FR623"	: 	: 	6.86	6.7	6.36	6.83	7.04	: 	: 	: 
"V97120,R_S,FR624"	: 	: 	6.26	6.82	5.66	: c	: c	: 	: 	: 
"V97120,R_S,FR625"	: 	: 	5.91	6.18	5.69	7.14	9.03	: 	: 	: 
"V97120,R_S,FR626"	: 	: 	5.73	5.66	5.3	: c	7.16	: 	: 	: 
"V97120,R_S,FR627"	: 	: 	7.85	8	6.87	7.09	7.59	: 	: 	: 
"V97120,R_S,FR628"	: 	: 	6.81	7.57	9.05	: c	8.72	: 	: 	: 
"V97120,R_S,FR63"	: 	: 	5.75	7.85	6.64	6.07	5.39	: 	: 	: 
"V97120,R_S,FR631"	: 	: 	6.52	7.29	6.63	: c	6.42	: 	: 	: 
"V97120,R_S,FR632"	: 	: 	5.47	7.62	6.14	: c	: c	: 	: 	: 
"V97120,R_S,FR633"	: 	: 	5.33	8.27	6.78	5.92	: c	: 	: 	: 
"V97120,R_S,FR7"	: 	: 	6.5	7.29	6.21	6.91	7.62	: 	: 	: 
"V97120,R_S,FR71"	: 	: 	6.65	7.32	6.38	7.05	7.83	: 	: 	: 
"V97120,R_S,FR711"	: 	: 	6.99	8.08	6.77	7.11	7.42	: 	: 	: 
"V97120,R_S,FR712"	: 	: 	7.21	8.35	7	8.21	9.04	: 	: 	: 
"V97120,R_S,FR713"	: 	: 	7.73	7.7	6.62	7.59	7.74	: 	: 	: 
"V97120,R_S,FR714"	: 	: 	6.81	8.26	6.9	7.69	8.71	: 	: 	: 
"V97120,R_S,FR715"	: 	: 	5.91	6.58	6.21	6.82	7.19	: 	: 	: 
"V97120,R_S,FR716"	: 	: 	6.26	6.65	6.1	6.46	7.46	: 	: 	: 
"V97120,R_S,FR717"	: 	: 	6.94	6.88	5.15	5.74	6.11	: 	: 	: 
"V97120,R_S,FR718"	: 	: 	6.65	7.39	6.67	7.88	9.13	: 	: 	: 
"V97120,R_S,FR72"	: 	: 	5.69	7.16	5.31	6.16	6.46	: 	: 	: 
"V97120,R_S,FR721"	: 	: 	4.98	6.31	5.18	6.03	6.74	: 	: 	: 
"V97120,R_S,FR722"	: 	: 	4.83	4.56	4.06	: c	: c	: 	: 	: 
"V97120,R_S,FR723"	: 	: 	5.68	7.87	5.35	: c	: c	: 	: 	: 
"V97120,R_S,FR724"	: 	: 	6.25	7.95	5.64	6.72	6.41	: 	: 	: 
"V97120,R_S,FR8"	: 	: 	7.07	7.35	6.84	7.49	8.25	: 	: 	: 
"V97120,R_S,FR81"	: 	: 	6.98	7.38	7.25	7.37	8.69	: 	: 	: 
"V97120,R_S,FR811"	: 	: 	6.86	6.81	7.4	: c	9.59	: 	: 	: 
"V97120,R_S,FR812"	: 	: 	7.01	7.97	7.5	7.18	9.39	: 	: 	: 
"V97120,R_S,FR813"	: 	: 	6.92	7.22	6.81	7.53	8.5	: 	: 	: 
"V97120,R_S,FR814"	: 	: 	5.55	8.2	7.23	: c	7.55	: 	: 	: 
"V97120,R_S,FR815"	: 	: 	7.31	7.29	7.9	6.64	7.8	: 	: 	: 
"V97120,R_S,FR82"	: 	: 	7.07	7.33	6.66	7.63	8.16	: 	: 	: 
"V97120,R_S,FR821"	: 	: 	7.71	7.38	5.41	8.26	8.37	: 	: 	: 
"V97120,R_S,FR822"	: 	: 	6.32	6.76	5.89	6.42	7.49	: 	: 	: 
"V97120,R_S,FR823"	: 	: 	6.77	6.59	6.15	7.33	7.73	: 	: 	: 
"V97120,R_S,FR824"	: 	: 	7	7.18	6.88	7.37	7.64	: 	: 	: 
"V97120,R_S,FR825"	: 	: 	7.46	8.25	6.84	8.12	9.32	: 	: 	: 
"V97120,R_S,FR826"	: 	: 	7.33	8.04	7.55	8.57	8.97	: 	: 	: 
"V97120,R_S,FR83"	: 	: 	7.78	7.41	6.47	6.26	6.4	: 	: 	: 
"V97120,R_S,FR831"	: 	: 	8.31	6.66	6.09	7.06	7.08	: 	: 	: 
"V97120,R_S,FR832"	: 	: 	7.3	8.07	6.81	5.58	5.8	: 	: 	: 
"V97120,R_S,FRA"	: 	: 	7.26	8.03	9.29	10.59	8.48	: 	: 	: 
"V97120,R_S,FRA1"	: 	: 	6.23	7.44	8.49	12.16	8.84	: 	: 	: 
"V97120,R_S,FRA10"	: 	: 	6.23	7.44	8.49	12.16	8.84	: 	: 	: 
"V97120,R_S,FRA2"	: 	: 	7.72	6.97	8.3	9.78	7.55	: 	: 	: 
"V97120,R_S,FRA20"	: 	: 	7.72	6.97	8.3	9.78	7.55	: 	: 	: 
"V97120,R_S,FRA3"	: 	: 	5.06	10	9.07	10.28	9.54	: 	: 	: 
"V97120,R_S,FRA30"	: 	: 	5.06	10	9.07	10.28	9.54	: 	: 	: 
"V97120,R_S,FRA4"	: 	: 	7.9	8.48	10.34	10.06	8.2	: 	: 	: 
"V97120,R_S,FRA40"	: 	: 	7.9	8.48	10.34	10.06	8.2	: 	: 	: 
"V97120,R_S,FRA5"	: 	: 	10.89	14.46	14.54	11.54	20.48	: 	: 	: 
"V97120,R_S,FRA50"	: 	: 	10.89	14.46	14.54	11.54	20.48	: 	: 	: 
"V97120,R_S,FRB"	6	6.07	6.06	7.66	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRB0"	6	6.07	6.06	7.66	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRB01"	7	5.49	7.23	7.72	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRB02"	6	6.95	5.97	7.85	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRB03"	6	4.93	5.83	6.66	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRB04"	7	6.52	6.54	7.58	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRB05"	5	4.75	4.46	5.7	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRB06"	6	6.48	6.19	9.04	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRC"	6	5.79	5.77	6.15	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRC1"	5	5.48	5.37	5.64	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRC11"	6	5.4	5.15	5.65	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRC12"	5	5.4	4.11	5.94	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRC13"	5	5.74	5.83	5.69	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRC14"	6	5.27	5.74	5.38	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRC2"	6	6.28	6.39	6.92	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRC21"	6	6.6	6.55	7.07	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRC22"	7	6.66	6.44	6.65	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRC23"	5	5.19	5.9	6.67	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRC24"	6	5.77	6.37	7.25	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRD"	5	5.21	5.32	5.9	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRD1"	5	5.01	4.72	5.37	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRD11"	5	5.03	4.46	4.91	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRD12"	5	5.41	4.9	5.56	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRD13"	4	4.22	5.35	6.72	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRD2"	6	5.41	5.91	6.4	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRD21"	6	6.95	6.76	8.38	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRD22"	5	4.77	5.56	5.54	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRE"	6	5.8	6.24	7.01	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRE1"	6	5.81	6.2	7.11	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRE11"	6	6.15	6.36	7.24	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRE12"	6	5.2	5.92	6.88	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRE2"	6	5.77	6.32	6.82	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRE21"	7	5.76	6.94	8.32	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRE22"	6	5.68	6.17	6.23	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRE23"	5	5.93	6.06	6.55	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRF"	6	6.8	5.75	7.22	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRF1"	6	5.54	5.25	6.7	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRF11"	6	5.47	5.53	6.84	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRF12"	6	5.65	4.86	6.5	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRF2"	6	5.55	5.64	7.4	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRF21"	7	7.18	6.19	8.82	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRF22"	5	4.48	5.72	6.92	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRF23"	6	5.19	5.65	6.89	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRF24"	6	6.75	4.56	8.16	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRF3"	6	8.73	6.3	7.6	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRF31"	6	15.19	6.52	8.03	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRF32"	7	5.74	6.01	8.27	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRF33"	6	6.01	6.25	7.45	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRF34"	5	6.11	6.15	7.03	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRG"	6	5.88	5.75	6.66	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRG0"	6	5.88	5.75	6.66	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRG01"	6	6.87	6.1	6.99	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRG02"	6	6.03	6.32	6.65	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRG03"	6	4.61	4.24	6.8	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRG04"	5	4.86	4.97	5.56	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRG05"	5	5.03	5.64	6.78	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRH"	5	5.37	5.86	6.36	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRH0"	5	5.37	5.86	6.36	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRH01"	5	4.42	5.13	5.94	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRH02"	5	5.55	5.78	5.95	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRH03"	5	5.5	6.44	7.37	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRH04"	6	5.75	5.8	5.9	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRI"	7	6.37	6.36	7.56	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRI1"	7	6.83	6.88	8.04	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRI11"	5	6.15	6.14	7.54	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRI12"	8	8.17	7.83	9.34	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRI13"	6	5.82	6.2	7.81	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRI14"	6	5.47	4.73	6.39	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRI15"	7	5.5	6.59	6.41	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRI2"	7	5.72	5.75	7.85	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRI21"	7	5.83	6.52	7.29	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRI22"	7	6.22	5.47	7.62	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRI23"	7	5.51	5.33	8.27	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRI3"	5	5.67	5.53	6.55	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRI31"	6	7.31	5.57	6.83	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRI32"	6	6.29	6.63	7.73	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRI33"	4	3.57	4.05	4.74	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRI34"	5	5.29	4.99	5.95	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRJ"	8	6.76	6.83	7.08	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRJ1"	7	6.8	6.98	7.38	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRJ11"	7	6.7	6.86	6.81	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRJ12"	7	7.33	7.01	7.97	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRJ13"	8	6.89	6.92	7.22	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRJ14"	6	5.96	5.55	8.2	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRJ15"	7	6.03	7.31	7.29	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRJ2"	8	6.72	6.67	6.75	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRJ21"	7	7.76	6.17	6.67	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRJ22"	6	4.96	5.83	5.92	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRJ23"	9	6.72	6.86	6.7	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRJ24"	7	6.84	6.26	6.82	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRJ25"	6	5.9	5.91	6.18	: 	: 	: 	: 	: 	: 
"V97120,R_S,FRJ26"	7	8.31	5.73	5.66	: 	: 	: 	: 	: 	: 
