"nace_r2,unit,sex,geo\time"	2019	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
"HTC,PC_EMP,T,AT11"	2.8 u	: bu	: u	2.5 u	3.4 u	3.1 u	: u	2.3 u	2.6 u	3.0 u	3.2 u	3.8 u
"HTC,PC_EMP,T,AT12"	3.2	3.5 b	3.8	3.4	3.4	3.3	3.4	4.2	4.3	4.7	4.9	3.9
"HTC,PC_EMP,T,AT13"	6.6	5.7 b	6.6	6.8	6.2	5.8	6.9	7.5	6.3	6.5	6.8	7
"HTC,PC_EMP,T,AT21"	4.7	3.7 b	3.5	3.5	3.9	3.8	3.7	3.2	3.2	3.9	4.2	4.3
"HTC,PC_EMP,T,AT22"	3.5	2.9 b	3.2	3.2	2.5	2.6	3	3.2	3.8	4.1	3.9	3.8
"HTC,PC_EMP,T,AT31"	3.2	2.7 b	2.1	2.3	2.3	2.6	2.7	2.8	2.8	3.3	3.1	3
"HTC,PC_EMP,T,AT32"	2.8	2.5 b	2.4	2.5	2.4	2.7	2.8	2.5	2.9	3.2	2.9	2.7
"HTC,PC_EMP,T,AT33"	3.6	3.1 b	3.1	2.8	3	3.4	3.4	3.6	3.8	3.9	3.5	3.3
"HTC,PC_EMP,T,AT34"	2.1 u	2.4 bu	2.6 u	2.6 u	2.6 u	2.5 u	2.4 u	2.5 u	2.6 u	2.4 u	2.7 u	2.3 u
"HTC,PC_EMP,T,BE10"	6.6	6.4 b	5.8	7.1	6.4 b	7	5.6	6.3	6.2	5.8	6.1 b	7.4
"HTC,PC_EMP,T,BE21"	6.4	4.7 b	5.4	5.9	5.4 b	5.7	5.3	5.3	4.8	5	5.5 b	5.8
"HTC,PC_EMP,T,BE22"	3.5	3.2 b	3.2	3.3	2.9 b	3.3	3	2.9	3.1	2.8	3.0 b	2.5
"HTC,PC_EMP,T,BE23"	5	3.7 b	3.6	4	3.9 b	3.7	4.3	4.1	3.9	4	4.6 b	4.4
"HTC,PC_EMP,T,BE24"	6.5	6.3 b	6.7	7	6.6 b	7.1	6.2	6.1	6	6.5	7.0 b	6.5
"HTC,PC_EMP,T,BE25"	2.8	2.6 b	2.3	2.3	2.6 b	2.7	2.9	2.3	2.4	2.7	2.8 b	2.6
"HTC,PC_EMP,T,BE31"	8.6	9.9 b	9.1	8.9	10.1 b	9.2	7.7	8.2	8.7	7.2	6.7 b	7.8
"HTC,PC_EMP,T,BE32"	4.1	3.9 b	3.4	3.4	3.7 b	3.7	3.3	3.5	3.6	3.4	3.2 b	4.3
"HTC,PC_EMP,T,BE33"	3.7	2.9 b	3.8	3.1	3.6 b	3.2	2.9	3.4	4	2.6	2.4 b	3.5
"HTC,PC_EMP,T,BE34"	2.7 u	2.9 bu	3.3 u	3.2 u	2.6 bu	3.2 u	2.7 u	3.0 u	2.8 u	2.3 u	3.5 bu	2.9 u
"HTC,PC_EMP,T,BE35"	5.9	4.1 b	4	4.8	5.1 b	4.2	4.9	3.5	3.5	4.8	5.5 b	5.9
"HTC,PC_EMP,T,BG31"	1.7 u	2.4 b	2.0 u	1.7 bu	2.0 bu	2.1 u	2.3 u	1.8 u	1.5 u	2.2 u	2.3 u	2.1
"HTC,PC_EMP,T,BG32"	2.9	2.2 b	1.8 u	2.1 bu	2.1 bu	1.7 u	1.9 u	1.6 u	2.3 u	1.7 u	1.3 u	2.4
"HTC,PC_EMP,T,BG33"	1.6	1.4 bu	1.4 u	1.7 bu	2.2 b	1.5 u	1.0 u	1.1 u	1.4 u	1.9	1.9	1.9
"HTC,PC_EMP,T,BG34"	1.0 u	1.3 bu	1.3 u	1.5 bu	1.4 bu	1.3 u	1.5 u	1.4 u	1.8 u	1.5 u	1.2 u	1.0 u
"HTC,PC_EMP,T,BG41"	7.8	5.9 b	5.4	5.7 b	5.6 b	6.1	6.7	6.7	7.7	8	7.6	7.9
"HTC,PC_EMP,T,BG42"	2.7	1.7 b	1.8	1.7 b	1.6 b	2	2	1.8	1.9	1.9	1.8	2
"HTC,PC_EMP,T,CH01"	5.8	4.6 b	4	4.1 b	4.4	4.5	4.7	5.4	5.1	4.9	5.5	5.9
"HTC,PC_EMP,T,CH02"	7	7.4 b	6.8	6.8 b	6.8	6.7	6.3	6.5	6.1	6.6	7.1	6.9
"HTC,PC_EMP,T,CH03"	7.8	7.5 b	8.5	7.4 b	7	7.4	7.6	7.8	7.7	7.7	7.9	7.4
"HTC,PC_EMP,T,CH04"	7.9	5.4 b	6.1	5.6 b	5.8	6.1	6.2	7.4	6.7	7	7.2	7.2
"HTC,PC_EMP,T,CH05"	5	3.5 b	3.9	4.1 b	4.1	4	4.4	4.7	4.1	4.3	4.3	4.6
"HTC,PC_EMP,T,CH06"	5.8	4.5 b	5.3	4.4 b	4.7	4.4	4.7	4.7	5.1	6.3	5.9	6.2
"HTC,PC_EMP,T,CH07"	4	4.6 b	4.5	4.6 b	4.2	3.5	3.6	4.6	5.3	4.6	4.4	4.2
"HTC,PC_EMP,T,CY00"	2.8	2.9 b	2.5 b	2.2	2.5	2.9	2.6	2.9	3	3	3.1	3.2
"HTC,PC_EMP,T,CZ01"	10.3	7.6 b	8.1	8	8.5 b	7.6	8.5	9.5	8.4	9.7	9.2	9.7
"HTC,PC_EMP,T,CZ02"	4.5	3.7 b	4.1	4.1	4.9 b	4.7	5	5	4.7	4.6	4.7	4.4
"HTC,PC_EMP,T,CZ03"	3.8	3.8 b	3.7	3.5	3.9 b	3.3	2.9	3	3.4	3.9	3.8	4
"HTC,PC_EMP,T,CZ04"	2	2.4 b	2.6	2.4	2.3 b	1.8	1.7	2.3	2.2	2	1.8	2.3
"HTC,PC_EMP,T,CZ05"	4.2	3.4 b	3.3	3.9	4.1 b	5	4.5	4.4	4.4	4.2	4.9	4.5
"HTC,PC_EMP,T,CZ06"	5.1	3.6 b	3.8	4.6	4.8 b	4.5	5.3	6	5.3	5	4.6	5.3
"HTC,PC_EMP,T,CZ07"	3.9	2.7 b	3	3.1	3.4 b	4	3.9	3.5	3.7	4.3	3.8	4.4
"HTC,PC_EMP,T,CZ08"	4	3.0 b	3	4	3.7 b	3.2	3.8	3.4	3.3	3.2	3.7	4.1
"HTC,PC_EMP,T,DE11"	4.6	4.5 b	5.2	4.7 b	4.5 b	4.6	4.3	4.5	4.4	4.3	4.5	4.6
"HTC,PC_EMP,T,DE12"	6	6.5 b	6.1	6.5 b	6.3 b	6.2	5.8	5.7	5.7	5.6	5.6	5.5
"HTC,PC_EMP,T,DE13"	5.6	5.1 b	5.4	5.2 b	5.1 b	5.4	5.5	5.6	5.4	5.6	5.6	5.7
"HTC,PC_EMP,T,DE14"	5.7	4.8 b	5.3	5.2 b	5.3 b	5.6	5.8	4.8	5	5.2	5.1	5.2
"HTC,PC_EMP,T,DE21"	6.6	7.4 b	7.7	8.1 b	8.0 b	7.8	7.4	7	7	7.1	6.9	7.3
"HTC,PC_EMP,T,DE22"	2.7	2.4 b	2.9	2.8 b	2.3 b	2.6	2.5	2.6	2.8	2.4	2.6	2.5
"HTC,PC_EMP,T,DE23"	4.9	4.4 b	4.6	4.9 b	4.8 b	4.3	4.5	4.6	4.8	5.6	5.3	5.2
"HTC,PC_EMP,T,DE24"	3	3.0 b	3.4	3.0 b	3.2 b	2.5	3.2	2.9	3	2.5	2.5	2.6
"HTC,PC_EMP,T,DE25"	5	4.8 b	5.4	4.8 b	5.0 b	4.8	5.1	5.2	6.2	5	5	5.1
"HTC,PC_EMP,T,DE26"	3.3	2.9 b	3.3	2.7 b	2.9 b	3.2	3.5	2.9	3.2	2.6	2.9	3.4
"HTC,PC_EMP,T,DE27"	3.5	3.3 b	3.2	3.2 b	3.5 b	3.5	3.5	3.7	3.3	3.3	3.5	3.2
"HTC,PC_EMP,T,DE30"	7.4	6.7 b	6.9	7.4 b	7.2 b	7.4	7	7	6.6	7.1	7.2	7.5
"HTC,PC_EMP,T,DE40"	2.5	2.6 b	2.8	3.1 b	3.5 b	3.2	2.9	3.1	3	3.1	2.9	2.8
"HTC,PC_EMP,T,DE50"	3.7	3.1 b	3.3	3.6 b	3.2 b	3.5	3.3	3.6	3	3.5	3.6	3.5
"HTC,PC_EMP,T,DE60"	5.5	5.6 b	5.5	4.8 b	5.1 b	5.1	5.6	5.2	5.8	5.2	5.5	5.6
"HTC,PC_EMP,T,DE71"	5.9	6.3 b	6.7	6.3 b	6.0 b	6.5	5.9	6.1	5.8	5.9	6.1	5.9
"HTC,PC_EMP,T,DE72"	4.7	4.6 b	5	5.2 b	4.8 b	5	4.6	4.7	4.3	4	4	4.1
"HTC,PC_EMP,T,DE73"	2.5	2.6 b	2.7	2.8 b	2.7 b	2.8	2.5	2.4	2.4	2.8	2.9	2.5
"HTC,PC_EMP,T,DE80"	2	1.9 b	1.9	1.9 b	2.0 b	1.9	2.1	2.3	2.2	1.9	2	2
"HTC,PC_EMP,T,DE91"	4.1	3.3 b	3.3	3.4 b	3.4 b	3.4	3.4	3.9	3.5	2.9	3.2	3.1
"HTC,PC_EMP,T,DE92"	3.4	3.4 b	3.7	3.5 b	3.6 b	3.3	3.4	3.3	3	3.4	3.4	3.5
"HTC,PC_EMP,T,DE93"	2.3	2.2 b	2.3	2.1 b	2.2 b	2.6	2.2	2.2	2.3	2.2	2.1	2.1
"HTC,PC_EMP,T,DE94"	1.7	1.6 b	1.4	1.6 b	1.5 b	1.7	1.5	1.7	1.4	1.6	1.7	1.6
"HTC,PC_EMP,T,DEA1"	3.4	3.9 b	3.7	3.9 b	3.9 b	3.9	3.4	3.5	3.2	3.6	3.4	3.5
"HTC,PC_EMP,T,DEA2"	5	5.1 b	5.4	5.7 b	5.7 b	5.7	5.5	5.6	5.1	4.9	4.9	5.2
"HTC,PC_EMP,T,DEA3"	2.4	2.8 b	2.5	2.9 b	2.8 b	2.6	2.3	2	2.2	2.4	2.6	2.8
"HTC,PC_EMP,T,DEA4"	3.3	3.0 b	3.3	3.0 b	3.4 b	3.5	3.3	3.5	3.2	2.9	3.2	3.2
"HTC,PC_EMP,T,DEA5"	2.9	2.8 b	2.7	2.9 b	3.1 b	2.9	2.8	2.8	2.7	2.9	3	2.6
"HTC,PC_EMP,T,DEB1"	2.9	2.9 b	2.7	3.0 b	2.8 b	2.9	2.6	2.5	2.4	2.8	2.5	2.8
"HTC,PC_EMP,T,DEB2"	: u	: bu	2.1	2.4 b	2.4 b	2.9	2.3	2.2	: u	: u	: u	: u
"HTC,PC_EMP,T,DEB3"	4.5	4.7 b	4.6	4.3 b	4.8 b	4.5	4.7	4.4	4.2	4	4.6	4.7
"HTC,PC_EMP,T,DEC0"	2.8	3.0 b	3.2	3.7 b	3.1 b	3.2	2.1	2.8	3	3	2.6	2.7
"HTC,PC_EMP,T,DED2"	4.6	5.1 b	5	4.7 b	5.0 b	5.2	4.4	4.3	4.9	4.9	4.8	4.9
"HTC,PC_EMP,T,DED4"	2.6	2.9 b	2.9	2.8 b	2.7 b	2.5	2.6	2.6	2.4	2.1	2.4	2.5
"HTC,PC_EMP,T,DED5"	4.6	4.3 b	4.6	4.8 b	4.7 b	4.7	4.3	4.2	4.6	4	4.2	4.5
"HTC,PC_EMP,T,DEE0"	2.4	2.1 b	2.3	2.4 b	2.4 b	2.1	2.1	2.2	2.1	2.3	2.3	2.3
"HTC,PC_EMP,T,DEF0"	3.3	3.3 b	3	3.2 b	3.3 b	3.6	3.4	3.3	3.3	3	3	3
"HTC,PC_EMP,T,DEG0"	3.5	3.4 b	3.7	3.4 b	3.5 b	3.5	3.3	3.5	3.5	3.5	3.5	3.6
"HTC,PC_EMP,T,DK01"	9.3	8.9 b	8.8	9.2	9.2	9.6	9.4	9.5	9.7	9.4 b	8.6 b	8.7
"HTC,PC_EMP,T,DK02"	4.6	4.6 b	4.3	5	4.9	4.5	5.3	5.9	5.4	5.5 b	4.8 b	4.6
"HTC,PC_EMP,T,DK03"	2.3	2.2 b	1.9	2.4	2.7	2.8	2.4	2.2	2.7	2.5 b	2.4 b	2.3
"HTC,PC_EMP,T,DK04"	4.4	3.6 b	4.1	4.4	4	3.7	3.8	3.8	4	3.9 b	3.8 b	4
"HTC,PC_EMP,T,DK05"	2.7	3.0 b	3.8	3.3	3.5	3.3	3.3	3.5	2.9	2.8 b	2.5 b	3.1
"HTC,PC_EMP,T,EE00"	5.7	3.2 b	3.5	3.4	4.1	3.7	4.1	4.5	5.1	5.4	5.5	5.5
"HTC,PC_EMP,T,EL30"	5.7	4.0 b	4.2 b	4.4	4	4.2	4.6	4.9	4.7	5	5	5.6
"HTC,PC_EMP,T,EL41"	: u	: bu	: bu	: u	: u	: c	: u	: u	: u	: u	: u	: u
"HTC,PC_EMP,T,EL42"	: u	: bu	: bu	: u	1.4 u	1.1 u	: u	: u	: u	: c	: c	: u
"HTC,PC_EMP,T,EL43"	1.2 u	1.1 bu	1.1 bu	0.9 u	0.8 u	1.0 u	1.4 u	1.6 u	1.4 u	1.0 u	0.9 u	1.3 u
"HTC,PC_EMP,T,EL51"	1.0 u	1.0 bu	0.9 bu	0.8 u	0.9 u	: u	1.1 u	0.8 u	0.8 u	0.9 u	1.0 u	0.6 u
"HTC,PC_EMP,T,EL52"	2.8	1.5 b	1.5 b	1.5	1.7	1.6	1.5	1.6	1.5	1.9	2.4	2.2
"HTC,PC_EMP,T,EL53"	: u	: bu	: bu	: u	: u	: c	: c	: u	: u	: u	: u	: u
"HTC,PC_EMP,T,EL54"	: u	: bu	: bu	: u	: u	: u	: u	: u	: u	: u	: u	: u
"HTC,PC_EMP,T,EL61"	: u	0.5 bu	0.7 bu	0.5 u	: u	0.7 u	0.6 u	: u	0.8 u	: u	: u	0.5 u
"HTC,PC_EMP,T,EL62"	: u	: bu	: bu	: u	: u	: u	: u	: c	: u	: u	: c	: u
"HTC,PC_EMP,T,EL63"	1.5 u	1.1 bu	0.8 bu	0.9 u	1.0 u	1.0 u	1.3 u	1.3 u	0.9 u	1.1 u	1.0 u	1.0 u
"HTC,PC_EMP,T,EL64"	0.9 u	1.0 bu	1.0 bu	0.7 u	1.1 u	1.4 u	1.2 u	: u	: u	: u	0.8 u	1.0 u
"HTC,PC_EMP,T,EL65"	0.8 u	0.8 bu	0.8 bu	0.8 u	: u	: u	0.8 u	0.9 u	0.8 u	: u	: u	: u
"HTC,PC_EMP,T,ES11"	3.1	2.2 b	2.1	2.1	2.1	2.3	2.7	2.4	2.4	2.7	2.7	2.9
"HTC,PC_EMP,T,ES12"	3.7	2.6 b	3.3	2.9	3	2.6	2.5	2.4	2.3	2.8	3.1	3.5
"HTC,PC_EMP,T,ES13"	2.1	1.6 bu	1.9 u	2.6	3	2.5	1.9 u	2.8	3.1	3	3.4	2.6
"HTC,PC_EMP,T,ES21"	3.9	3.7 b	3.6	3.6	3.8	4	3.4	3.6	3.6	3.6	3.8	3.7
"HTC,PC_EMP,T,ES22"	3.1	1.6 bu	1.7 u	2.2	2.1	2.1	2.3	2.6	2.4	2.1	1.8	2.5
"HTC,PC_EMP,T,ES23"	1.2 u	1.3 bu	1.4 u	1.8 u	2.2 u	1.9 u	1.2 u	2.0 u	1.6 u	1.9 u	1.4 u	1.5 u
"HTC,PC_EMP,T,ES24"	2.8	2.5 b	2.4	2.6	3	3.1	3	3	3.1	3	2.4	2.7
"HTC,PC_EMP,T,ES30"	8	8.4 b	7.3	7.2	7.9	9	8.8	8.2	8.7	8.5	8.7	7.9
"HTC,PC_EMP,T,ES41"	2.4	2.3 b	2.1	2.3	2.3	2.5	2.3	2	2	1.8	1.9	2.1
"HTC,PC_EMP,T,ES42"	2.4	1.8 b	1.8	2	2.1	1.9	2.4	2.4	2.2	2.7	2.3	2.3
"HTC,PC_EMP,T,ES43"	1.5	1.5 b	1.0 u	1.6	1.5	1.2 u	1.2 u	1.5	1.1 u	1.2 u	1.4	1.4
"HTC,PC_EMP,T,ES51"	4.6	3.7 b	4.4	4.6	4.9	4.5	4.9	4.9	4.9	4.5	4.9	4.8
"HTC,PC_EMP,T,ES52"	2.6	1.9 b	1.7	2.3	2.2	2.2	2.3	2.4	2.2	2	2	2.2
"HTC,PC_EMP,T,ES53"	1.9	2.1 b	1.7	2	2.5	1.8	1.8	1.6	1.6	1.3	1.4	2
"HTC,PC_EMP,T,ES61"	2.2	1.9 b	2.1	2.1	2	2.1	1.9	2	2	2.1	2.5	2.2
"HTC,PC_EMP,T,ES62"	1.6	1.1 b	1.2	1.1	1.3	1.4	1.4	1.6	1.5	1.3	1.7	1.6
"HTC,PC_EMP,T,ES63"	: u	: bu	: u	: u	: u	: 	: c	: u	: u	: u	: c	: u
"HTC,PC_EMP,T,ES64"	: u	: bu	: u	: u	: u	: u	: u	: c	: u	: u	: u	: u
"HTC,PC_EMP,T,ES70"	1.7	1.5 b	1.5	1.1	1.2	1.5	1.5	1.7	1.4	1.4	1.7	1.8
"HTC,PC_EMP,T,FI19"	4.3	3.8 b	3.6	4.1	4	4.1	4	3.9	3.9	3.9	4	3.8
"HTC,PC_EMP,T,FI1B"	9.7	9.3 b	10	9.6	9.3	9.2	9.4	9.7	10	9.5	9.4	9.6
"HTC,PC_EMP,T,FI1C"	4.1	4.4 b	4.1	4.2	4	4.3	4.5	4.2	3.8	3.5	3.4	3.7
"HTC,PC_EMP,T,FI1D"	4.2	4.5 b	4.2	4.2	4.4	4.4	4.3	3.9	3.8	3.7	3.9	4.1
"HTC,PC_EMP,T,FI20"	: u	: bu	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
"HTC,PC_EMP,T,FR10"	8	7.4 b	8.1	7.8	8	7.6	6.8	6.7	7.3	7.1	7.1	7.4
"HTC,PC_EMP,T,FRB0"	3.3	3.9 b	3.6	3.5	3.1	3.6	3.9	3.6	3.7	4.4	3.2	3.3
"HTC,PC_EMP,T,FRC1"	2.9	1.7 bu	2.2	1.8	1.5 u	2.1	2	2.2	1.9	1.8	2.3	2.6
"HTC,PC_EMP,T,FRC2"	4.9	2.5 bu	2.9	2.3	3.3	3.6	3.5	4.5	4.5	5.8	5.4	4.4
"HTC,PC_EMP,T,FRD1"	2.2	2.1 bu	1.7 u	1.6 u	1.9 u	2.4	2.1	2	2.6	2.6	2.4	3.2
"HTC,PC_EMP,T,FRD2"	2.9	3.4 b	3.3	3.3	3.4	2.7	2.6	2.9	2.9	3	2.8	2.7
"HTC,PC_EMP,T,FRE1"	2.3	1.8 b	2.4	2.5	2.2	2.1	1.9	2.1	2.1	2	2.1	2.4
"HTC,PC_EMP,T,FRE2"	3.4	2.1 b	2.4	2	1.8	1.7	1.3 u	1.4	1.8	1.8	2.2	2.3
"HTC,PC_EMP,T,FRF1"	4.7	3.2 b	4	3.7	4.6	4.8	4.1	3.6	3.5	3.7	4.2	4.8
"HTC,PC_EMP,T,FRF2"	1.3 u	1.7 bu	2.0 u	1.3 u	1.1 u	1.1 u	1.2 u	1.5 u	1.6 u	1.3 u	1.2 u	1.4 u
"HTC,PC_EMP,T,FRF3"	2.2	1.6 b	1.6	1.9	2.3	1.3	1.4	2.1	2.2	1.9	2.3	1.6
"HTC,PC_EMP,T,FRG0"	4.6	3.1 b	2.9	2.7	2.9	3.3	3.2	2.7	3.1	2.8	3.6	3.7
"HTC,PC_EMP,T,FRH0"	3.5	2.9 b	2.7	2.9	3	3.2	2.8	3.3	3.5	2.9	2.9	3.4
"HTC,PC_EMP,T,FRI1"	3	2.8 b	3.5	3.1	3	3.2	4	3.8	3.9	3.3	3.2	3.2
"HTC,PC_EMP,T,FRI2"	: u	: bu	: u	: u	2.6 u	2.8 u	1.9 u	1.2 u	1.9 u	1.7 u	2.0 u	1.9 u
"HTC,PC_EMP,T,FRI3"	1.4	1.8 bu	1.4 u	2.3	1.5 u	1.2 u	1.8	1.8	1.5	1.8	2	1.7
"HTC,PC_EMP,T,FRJ1"	3	2.5 b	2.1	2.8	2.7	2.7	2.8	2.7	2.6	3	2.3	2.2
"HTC,PC_EMP,T,FRJ2"	5.7	4.2 b	4.1	4.7	6.6	5.2	5.1	4.9	4.3	4.5	4.8	5.1
"HTC,PC_EMP,T,FRK1"	1.6 u	4.5 b	3.8	2.0 u	3.6	3.6	3.6	3.3	3.1	4.2	3.5	1.9
"HTC,PC_EMP,T,FRK2"	4.7	4.0 b	3.9	4.2	4.3	4.3	5	5	4.5	4.9	4.7	4.7
"HTC,PC_EMP,T,FRL0"	3.9	3.5 b	3.3	3.2	3.3	3.6	3.6	3.4	4.1	3.7	3.7	3.4
"HTC,PC_EMP,T,FRM0"	: u	: bu	: u	: u	: u	: u	1.6 u	1.8 u	2.1 u	0.8 u	1.9 u	: u
"HTC,PC_EMP,T,FRY1"	2.4 u	: 	: u	: u	: u	2.0 u	: u	2.1 u	: u	: u	: u	2.2 u
"HTC,PC_EMP,T,FRY2"	: u	: 	: u	: u	2.0 u	: u	2.0 u	: u	2.1 u	2.8 u	: u	: u
"HTC,PC_EMP,T,FRY3"	: u	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
"HTC,PC_EMP,T,FRY4"	1.6 u	: 	: u	1.2 u	1.4 u	1.3 u	1.5 u	2.3	1.4 u	1.3 u	1.9	1.7 u
"HTC,PC_EMP,T,FRY5"	: u	: 	: 	: 	: 	: 	: u	: u	: c	: u	: u	: u
"HTC,PC_EMP,T,HR03"	1.9	1.7 bu	1.4 u	1.6 u	1.6 u	1.6 u	1.7 u	1.9 u	2.3	2.2	1.7 u	2
"HTC,PC_EMP,T,HR04"	5.3	3.4 b	3.1	3.2	3.3	3	3.3	3.7	3.8	4.3	4.4	5
"HTC,PC_EMP,T,HU10"	: 	7.2 b	6.9	7.2	7.4	7.7	: 	: 	: 	: 	: 	: 
"HTC,PC_EMP,T,HU11"	10.9	: 	: 	: 	: 	: 	10.1	8	8.9	9.6	8.4	10.2
"HTC,PC_EMP,T,HU12"	6.9	: 	: 	: 	: 	: 	6.8	7.4	7.1	7	6.6	6.8
"HTC,PC_EMP,T,HU21"	5.4	5.5 b	5.5	5.6	5.2	4.8	3.7	2.9	2.5	3.5	3.8	4
"HTC,PC_EMP,T,HU22"	4.6	5.2 b	4.3	4.9	6.6	5	3.5	4	3.7	4.2	3.8	3.9
"HTC,PC_EMP,T,HU23"	3.5	5.0 b	3.9	4.4	3.9	2.8	3	2.8	2.5	2.8	2.9	2.6
"HTC,PC_EMP,T,HU31"	5.2	3.6 b	3.5	4.5	5.1	5.2	5.5	5	4.5	4.9	5.2	5.3
"HTC,PC_EMP,T,HU32"	3.6	3.3 b	2.8	2.8	3.6	3.6	4	3.3	3.2	3.6	3.3	3.2
"HTC,PC_EMP,T,HU33"	2	2.1 b	1.9	2.3	2.2	2.5	2.3	1.7	1.8	2	1.7	2.4
"HTC,PC_EMP,T,IE01"	: 	4.2 b	4.6	5.4	5.3	: 	: 	: 	: 	: 	: 	: 
"HTC,PC_EMP,T,IE02"	: 	7.7 b	8.2	8.4	8.6	: 	: 	: 	: 	: 	: 	: 
"HTC,PC_EMP,T,IE04"	4.9	: 	: 	: 	: 	5.3	5.7	4.6	4.7	4.9	5.1 b	5.4
"HTC,PC_EMP,T,IE05"	7.8	: 	: 	: 	: 	7.2	7.2	7.2	8.1	8.1	7.8 b	7.4
"HTC,PC_EMP,T,IE06"	9.4	: 	: 	: 	: 	9.8	9.4	9.8	9.8	9.9	9.9 b	9.4
"HTC,PC_EMP,T,IS00"	5.1	4.5 b	5	4.9	5.2	4.8	4.9	5.6	6	5.9	5.4	5.1
