"nace_r2,unit,sex,geo\time"	2019	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
"HTC,PC_EMP,T,ITC1"	3.9	3.5 b	3.4	3.4	3.8	3.6	3.7	3.7	3.7	3.7	3.2	3.6
"HTC,PC_EMP,T,ITC2"	: u	: bu	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
"HTC,PC_EMP,T,ITC3"	3.5	3.5 b	3.1	2.7	2.9	3.5	3.5	3	2.9	3.8	4	3.7
"HTC,PC_EMP,T,ITC4"	5.1	4.6 b	5	4.7	4.7	4.7	4.9	4.8	5	4.8	4.7	4.9
"HTC,PC_EMP,T,ITF1"	3.3	3.1 b	2.8	2.3	2.2	3	2.9	2.8	3.2	3.2	2.9	3
"HTC,PC_EMP,T,ITF2"	2.1 u	: bu	1.7 u	1.7 u	: u	: u	: u	: u	: u	: u	1.6 u	2.1 u
"HTC,PC_EMP,T,ITF3"	2.6	2.2 b	2.4	2.3	2.1	2.5	2.5	2.3	2	2	2.2	2.2
"HTC,PC_EMP,T,ITF4"	1.5	1.4 b	1.4	1.5	1.6	1.8	1.6	1.6	1.4	1.4	1.4	1.4
"HTC,PC_EMP,T,ITF5"	2	1.9 b	2	1.6	1.3 u	1.8	1.7	1.8	2.1	2.2	1.6	1.6
"HTC,PC_EMP,T,ITF6"	1.1	1.5 b	1.3	1.3	1.8	1.7	1.2	1.1	1.4	1.5	1.1	0.8
"HTC,PC_EMP,T,ITG1"	1.9	1.9 b	1.8	1.7	1.6	1.7	1.9	1.9	1.7	1.8	2.1	1.9
"HTC,PC_EMP,T,ITG2"	1.8	2.3 b	2.2	1.5	1.6	1.9	1.9	1.6	1.6	1.6	2	1.5
"HTC,PC_EMP,T,ITH1"	1.9	1.7 b	1.6	1.3	1.3	1.7	2	1.7	2	1.9	1.7	2
"HTC,PC_EMP,T,ITH2"	3.6	2.6 b	2.3	2.4	3	2.8	2.5	3.2	2.7	3.1	3.2	3.7
"HTC,PC_EMP,T,ITH3"	2.6	2.7 b	2.4	2.9	2.9	2.6	2.7	2.7	2.7	2.8	2.9	2.7
"HTC,PC_EMP,T,ITH4"	4	2.6 b	2.4	2.4	2.2	2.9	2.6	2.6	2.4	3	3	3
"HTC,PC_EMP,T,ITH5"	3.5	2.7 b	3	3.1	3.1	3.3	2.7	3	3.1	3.3	3.1	3.3
"HTC,PC_EMP,T,ITI1"	3.5	2.6 b	2.3	2.4	2.5	2.6	2.8	3.1	2.8	2.9	3.2	3.5
"HTC,PC_EMP,T,ITI2"	2.9	2.4 b	1.9	2	2	2.7	2.8	2.1	2.2	2.3	2.3	2.7
"HTC,PC_EMP,T,ITI3"	2.2	2.2 b	2.3	2.2	2.8	2.6	2.8	2.7	2.7	2.8	2.4	2.7
"HTC,PC_EMP,T,ITI4"	7	7.2 b	7.3	6.8	6.9	6.3	6.4	6.8	6.8	6.5	6.1	6.6
"HTC,PC_EMP,T,LT00"	: 	1.9 b	2	1.9	2.2	2.4	: 	: 	: 	: 	: 	: 
"HTC,PC_EMP,T,LT01"	6.5	: 	: 	: 	: 	: 	5.1	4.4	5.1	4.9	4.7	5.9
"HTC,PC_EMP,T,LT02"	1.7	: 	: 	: 	: 	: 	1	1.1	1.1	1.4	1.4	1.5
"HTC,PC_EMP,T,LU00"	4.3	3.6 b	3.5 b	4.1	3.8	4.2	4	4.3	3.9 b	3.6	3.8	4.2
"HTC,PC_EMP,T,LV00"	3.3	2.4 b	2.5	3.2	3	2.5	3.1	3.4	3.3	3.1	3.6	3.5
"HTC,PC_EMP,T,ME00"	2.3	: 	: 	: 	2.5	2.6	2.2	2.5	2.4	1.9	2.1	2.3
"HTC,PC_EMP,T,MK00"	2.5	: 	: 	: 	1.9	2	1.9	2.1	2.1	2.1	2.2	2.1
"HTC,PC_EMP,T,MT00"	5.7	6.4 b	5.8	5.1	5.7	6	6.1	6.2	5.9	6.1	5.7	5.4
"HTC,PC_EMP,T,NL11"	4	3.6 b	3.2	3.8	3.7	3.4	3.3 b	2.9	3.4	4	3.8	4.1
"HTC,PC_EMP,T,NL12"	1.8	2.4 b	2.3	2.5	1.7	2.1	2.0 b	1.6	1.7	1.8	1.5	1.7
"HTC,PC_EMP,T,NL13"	2.2	2.8 b	2.7	2.5	2.6	3.3	2.5 b	3.3	2.5	2.8	2.5	2
"HTC,PC_EMP,T,NL21"	3.3	2.8 b	3.1	3	2.8	2.9	3.0 b	2.7	3	3.1	3	3.3
"HTC,PC_EMP,T,NL22"	4.2	3.6 b	3.9	3.7	3.2	3.4	3.2 b	3.3	3.5	3.4	3.3	3.7
"HTC,PC_EMP,T,NL23"	4.7	5.4 b	4	4.2	5.3	5.4	5.0 b	5.2	4.1	4.1	4.1	3.7
"HTC,PC_EMP,T,NL31"	6	5.2 b	5.2	5.6	5.6	5.7	4.9 b	5	5.5	5.5	5.2	5.7
"HTC,PC_EMP,T,NL32"	5.3	4.6 b	4.5	5	4.6	4.6	4.3 b	4.1	4.4	4.9	4.8	4.8
"HTC,PC_EMP,T,NL33"	4.1	4.3 b	4.3	3.7	3.4	3.5	4.0 b	3.7	4	4.4	4.2	4.1
"HTC,PC_EMP,T,NL34"	2	1.9 b	1.3 u	1.3 u	1.4 u	1.0 u	0.9 bu	1.0 u	1.8	2	1.8	1.8
"HTC,PC_EMP,T,NL41"	3.8	4.4 b	4.2	4.2	4.3	4	3.7 b	3.7	3.5	4.1	3.8	3.6
"HTC,PC_EMP,T,NL42"	2.8	3.6 b	3.8	3	3.3	3.2	2.5 b	2.6	2.5	2.5	2.4	2.6
"HTC,PC_EMP,T,NO01"	8.1	7.4 b	6.8	6.5	6.7	7.4	7.5	8	8.1	7.4	7.4	8.1
"HTC,PC_EMP,T,NO02"	: u	1.9 b	2.2	2.1	2.5	2.2	1.4	1.7	1.9	2.1	: u	: u
"HTC,PC_EMP,T,NO03"	3.4	2.5 b	3.2	3.2	3.4	3.4	3.4	3.5	3.6	3.9	3.5	3.4
"HTC,PC_EMP,T,NO04"	2.9	2.4 b	2.6	2.6	2.5	2.4	2.4	2.2	2.3	2.7	2.8	2.9
"HTC,PC_EMP,T,NO05"	2.6	2.3 b	2.5	2.6	2.5	2	1.9	2.7	2.7	2.4	2.5	2.5
"HTC,PC_EMP,T,NO06"	4.5	4.2 b	4.3	4.2	4	4	4.7	4.5	3.4	3	3.8 u	3.9 u
"HTC,PC_EMP,T,NO07"	: u	1.8 b	1.6	1.7	1.7	2.2	2.2	1.4	1.2	1.5	2.2 u	2.2 u
"HTC,PC_EMP,T,PL21"	3.7	2.7 b	2.6	2.6 b	2.6	3	3.3	2.9	3.5	3.6 b	3.6	3.5
"HTC,PC_EMP,T,PL22"	2.6	1.8 b	2.1	2.0 b	2.2	2.5	2.3	2.4	2.3	2.3 b	2.5	2.6
"HTC,PC_EMP,T,PL41"	2.1	1.4 b	1.4	1.6 b	1.9	1.7	1.9	2.1	2.2	1.9 b	2.1	2.3
"HTC,PC_EMP,T,PL42"	2.1 u	2.1 bu	2.1 u	1.6 bu	1.6 u	1.6 u	2.1 u	1.7 u	1.5 u	1.6 bu	2.0 u	2.1
"HTC,PC_EMP,T,PL43"	2.3 u	2.0 bu	2.4 u	2.1 bu	2.4 u	2.4 u	2.2 u	1.9 u	: u	1.5 bu	2.4 u	2.5 u
"HTC,PC_EMP,T,PL51"	5	3.9 b	3.9	3.7 b	3.7	4.1	4.5	4.4	4.6	4.4 b	4.1	4.7
"HTC,PC_EMP,T,PL52"	1.7 u	: bu	: u	: bu	: u	1.6 u	: u	1.4 u	1.7 u	2.1 bu	1.9 u	1.4 u
"HTC,PC_EMP,T,PL61"	2.5	2.6 b	1.9	2.2 b	2.6	2.2	1.7 u	1.8 u	2	2.5 b	2.7	2.1
"HTC,PC_EMP,T,PL62"	1.4 u	1.1 bu	1.3 u	1.6 bu	1.4 u	1.2 u	1.2 u	: u	1.1 u	1.3 bu	1.5 u	1.3 u
"HTC,PC_EMP,T,PL63"	4.4	3.9 b	3.5	4.3 b	4.1	4.1	4.4	4	3.3	3.7 b	4.4	4.6
"HTC,PC_EMP,T,PL71"	3.3	2.2 b	3.1	2.9 b	2.8	2.6	3	3.1	3.3	2.9 b	2.9	3.2
"HTC,PC_EMP,T,PL72"	1.0 u	1.0 bu	1.0 u	1.1 bu	: u	0.9 u	1.1 u	1.0 u	: u	: bu	: u	: u
"HTC,PC_EMP,T,PL81"	1.7 u	1.2 bu	1.0 u	1.1 bu	1.4 u	1.6 u	1.5 u	1.2 u	1.8	1.8 b	1.6 u	1.7
"HTC,PC_EMP,T,PL82"	2.5	1.3 bu	1.3 u	1.5 bu	1.4 u	1.6 u	1.4 u	1.4 u	1.2 u	1.2 bu	1.4 u	2.1
"HTC,PC_EMP,T,PL84"	1.4 u	1.7 bu	1.3 u	1.1 bu	1.2 u	1.4 u	1.5 u	1.5 u	1.4 u	1.3 bu	1.4 u	1.3 u
"HTC,PC_EMP,T,PL91"	9.3	: 	: 	: 	: 	: 	8.4	9.2	9.7	8.4 b	8.7	9.2
"HTC,PC_EMP,T,PL92"	1.7	: 	: 	: 	: 	: 	1.9	2.1	1.8	1.7 b	1.5	1.4
"HTC,PC_EMP,T,PT11"	2.6	1.6 b	1.6	1.2	1.4 b	1.6	2	2.2	2.1	2	2.5	2.6
"HTC,PC_EMP,T,PT15"	: u	: bu	: u	: u	: bu	: u	: u	: u	: u	: u	: u	: u
"HTC,PC_EMP,T,PT16"	2.2	1.0 b	0.9	1.1	1.2 b	1	1.4	1.5	1.5	1.9	2	1.9
"HTC,PC_EMP,T,PT17"	5.9	4.8 b	4.9	5.3	4.2 b	4.6	4.8	5.4	5.4	5.3	4.8	5.4
"HTC,PC_EMP,T,PT18"	: u	2.0 b	2.2	1.9	1.6 b	: u	: u	2.1	1.9	: u	2.1	: u
"HTC,PC_EMP,T,PT20"	: u	: bu	: u	: u	: bu	: u	: u	: u	: u	: u	: u	: u
"HTC,PC_EMP,T,PT30"	: u	: bu	: u	: u	: bu	: u	: u	: u	: u	: u	: u	: u
"HTC,PC_EMP,T,RO11"	2.5	1.6 b	1.5	1.6 b	2	2.1	2.4	2.4	2.7	2.6	2.5	2.6
"HTC,PC_EMP,T,RO12"	2.1	1.4 b	1.8	1.7 b	1.4	1.4	1.6	1.9	2.9	2.7	2.8	2.3
"HTC,PC_EMP,T,RO21"	1.4	1.0 b	1.1	0.7 bu	0.8	1.1	1.2	1.2	1.3	1.3	1	1.1
"HTC,PC_EMP,T,RO22"	0.8 u	0.9 bu	0.9 u	0.8 bu	0.9 u	0.9 u	: u	: u	0.9 u	1.0 u	1.1 u	1.0 u
"HTC,PC_EMP,T,RO31"	1.1	0.9 b	0.9	0.8 bu	1	0.8 u	1	1.1	1	1	1.2	1.1
"HTC,PC_EMP,T,RO32"	9.3	5.2 b	5.8	5.7 b	5.8	6.9	7.2	6.8	7.6	7.6	9.6	9.6
"HTC,PC_EMP,T,RO41"	: u	0.8 bu	0.6 u	: bu	0.7 u	0.7 u	0.8 u	1.2 u	1.1 u	: u	0.8 u	1.0 u
"HTC,PC_EMP,T,RO42"	5.9	3.5 b	3.4	3.2 b	4.3	4.7	5.1	5.4	4.6	5.4	5.9	6.5
"HTC,PC_EMP,T,RS11"	7.7	: 	: 	: 	: 	: 	5.3	5.8 b	6.5	6.5	6.5	7.2
"HTC,PC_EMP,T,RS12"	2.8	: 	: 	: 	: 	: 	2.5	2.4 b	2.2	2.3	2.8	2.5
"HTC,PC_EMP,T,RS21"	1.3	: 	: 	: 	: 	: 	1.4	1.3 b	1	1	1.1	1.1
"HTC,PC_EMP,T,RS22"	1.6	: 	: 	: 	: 	: 	1.6	1.3 b	1.8	1.2	1.1	1.6
"HTC,PC_EMP,T,SE11"	9.7	8.5 b	8.7	8.5	8.7	8.5	8.1	7.9	7.9	7.9	8.4	9.3 b
"HTC,PC_EMP,T,SE12"	4.9	4.8 b	5	4.2	4.1	4.2	4.5	4.6	4.4	4.3	4.2	4.4 b
"HTC,PC_EMP,T,SE21"	2.5	1.8 b	2.2	2.4	2.2	2.3	2.1	2	2.2	2	2	2.0 b
"HTC,PC_EMP,T,SE22"	4.6	4.6 b	4.5	4.9	5.3	5.5	5.2	4.6	4.7	4.9	5.2	4.8 b
"HTC,PC_EMP,T,SE23"	4.3	4.3 b	4.3	3.8	3.8	4	4.1	4.1	4.1	4.1	4.4	4.4 b
"HTC,PC_EMP,T,SE31"	2.1	2.1 b	2.2	2	1.9	2.3	2.4	2.8	3.1	2.9	2.8	2.5 b
"HTC,PC_EMP,T,SE32"	3.7	3.5 b	3.7	3.4	3.4	3.6	3.3	3.5	2.7	2.9	3.9	3.8 b
"HTC,PC_EMP,T,SE33"	2.8	3.1 b	3.2	3.5	3.3	2.9	2.6	3	3.8	3.1	2.6	2.9 b
"HTC,PC_EMP,T,SI01"	: 	3.0 b	3.1	: 	: 	: 	: 	: 	: 	: 	: 	: 
"HTC,PC_EMP,T,SI02"	: 	6.1 b	6.7	: 	: 	: 	: 	: 	: 	: 	: 	: 
"HTC,PC_EMP,T,SI03"	5.1	: 	: 	3.6	3.6	3.1	3.7	3.8	4.4	4.2	4.3	4.6
"HTC,PC_EMP,T,SI04"	6.4	: 	: 	6.7	6.5	6.4	6.3	6.7	7.6	7	7.3	6.5
"HTC,PC_EMP,T,SK01"	8.9	5.7 b	6.4 b	7.1	7.8 b	8.6	8.1	8.7	9.2	8.9	10.6	10.2
"HTC,PC_EMP,T,SK02"	3.9	3.6 b	3.6 b	4.1	4.4 b	3.9	3.7	3.3	3.4	3.6	4.1	3.7
"HTC,PC_EMP,T,SK03"	3.7	3.3 b	3.1 b	2.7	2.4 b	3	2.4	2.7	3.5	3.6	3.2	2.9
"HTC,PC_EMP,T,SK04"	3.9	2.8 b	2.1 b	2.7	3.1 b	2.6	2.4	2.8	3.1	3	3	3.4
"HTC,PC_EMP,T,TR10"	2.5	: 	2.2	2.4	2.6	3	2.9	2.5 b	2.6	2.3	2.4	2.3
"HTC,PC_EMP,T,TR21"	1.3	: 	1.1	1.3	1.4	1.2	1	1.2 b	1.5	1	0.7	1.1
"HTC,PC_EMP,T,TR22"	0.5	: 	0.3 u	0.3 u	0.5	0.7	0.7	0.3 bu	0.8	0.6	0.3 u	0.4 u
"HTC,PC_EMP,T,TR31"	1.1	: 	1.1	1	1	1.3	1	1.2 b	1.4	1.2	1.2	1.1
"HTC,PC_EMP,T,TR32"	0.3	: 	0.3	0.5	0.5	0.2 u	0.3	0.7 b	0.5	0.5	0.5	0.4
"HTC,PC_EMP,T,TR33"	0.5	: 	0.5	0.8	0.5	0.6	0.7	0.8 b	0.8	0.8	0.4	0.4
"HTC,PC_EMP,T,TR41"	0.8	: 	0.5	0.5	0.7	0.8	0.7	0.8 b	0.9	0.7	0.7	0.6
"HTC,PC_EMP,T,TR42"	1.2	: 	0.8	0.6	0.7	0.8	0.7	1.2 b	0.9	1.1	1.6	1.4
"HTC,PC_EMP,T,TR51"	2.8	: 	2.7	2.6	2.3	2.9	2.9	2.7 b	2.6	3.1	3.1	3
"HTC,PC_EMP,T,TR52"	0.4	: 	0.2 u	0.6	0.4	0.5	0.5	0.4 b	0.4	0.5	0.5	0.7
"HTC,PC_EMP,T,TR61"	0.6	: 	0.5	0.6	0.7	0.8	0.7	0.6 b	0.5	0.8	0.8	0.7
"HTC,PC_EMP,T,TR62"	0.5	: 	0.5	0.7	0.6	0.7	0.6	0.5 b	0.6	0.6	0.6	0.6
"HTC,PC_EMP,T,TR63"	0.1 u	: 	0.2 u	0.5	0.5	0.4	0.5	0.4 b	0.6	0.2 u	0.2 u	0.2 u
"HTC,PC_EMP,T,TR71"	0.2 u	: 	0.2 u	0.5 u	0.4 u	0.6	0.5	0.2 bu	0.2 u	0.3 u	0.3 u	0.3 u
"HTC,PC_EMP,T,TR72"	0.5	: 	0.5	0.5	0.3 u	0.3 u	0.6	0.7 b	0.6	0.4	0.4	0.4
"HTC,PC_EMP,T,TR81"	0.5 u	: 	0.2 u	0.4 u	0.2 u	0.3 u	0.7	0.3 bu	0.4 u	0.5 u	0.3 u	0.3 u
"HTC,PC_EMP,T,TR82"	0.3 u	: 	0.2 u	0.7 u	0.5 u	0.4 u	0.4 u	: bu	0.3 u	0.4 u	0.6 u	0.3 u
"HTC,PC_EMP,T,TR83"	0.4	: 	0.2 u	0.4	0.5	0.4	0.5	0.6 b	0.8	0.3	0.3	0.2 u
"HTC,PC_EMP,T,TR90"	0.2 u	: 	0.3	0.5	0.4	0.3	0.4	0.4 b	0.5	0.5	0.3	0.4
"HTC,PC_EMP,T,TRA1"	0.6 u	: 	0.8	0.7	0.5 u	0.8 u	0.5 u	0.6 bu	0.5 u	0.5 u	0.5 u	0.4 u
"HTC,PC_EMP,T,TRA2"	: c	: 	0.2 u	0.7 u	0.7 u	0.5 u	0.4 u	0.2 bu	0.5 u	0.1 u	0.2 u	: u
"HTC,PC_EMP,T,TRB1"	0.4 u	: 	0.2 u	0.2 u	0.8	0.5	0.8	0.4 bu	0.2 u	0.3 u	0.2 u	0.4 u
"HTC,PC_EMP,T,TRB2"	0.2 u	: 	0.7	0.6	0.8	0.6	0.5	0.3 bu	0.7	0.4 u	0.2 u	0.2 u
"HTC,PC_EMP,T,TRC1"	0.4	: 	0.4 u	0.5	0.3 u	0.2 u	0.4	0.4 b	0.5	0.3 u	0.2 u	0.2 u
"HTC,PC_EMP,T,TRC2"	0.6	: 	0.8	1.6	1	0.3 u	0.6	0.2 bu	0.6	0.6	0.6	0.4
"HTC,PC_EMP,T,TRC3"	0.2 u	: 	0.4 u	0.6 u	0.9	0.7 u	1	0.3 bu	1.2	0.4 u	1	0.3 u
"HTC,PC_EMP,T,UKC1"	2.4	3.1 b	3.3	2.2	2.9	2.6	2.8	3.3	3.2	3	3.1	2.7
"HTC,PC_EMP,T,UKC2"	5	4.2 b	3.7	3.7	3.7	3	3.9	3.4	3.8	4.2	3.6	3.6
"HTC,PC_EMP,T,UKD1"	: u	3.0 bu	: u	: u	: u	: u	1.7 u	2.1 u	: u	: u	2.1 u	: u
"HTC,PC_EMP,T,UKD3"	5	3.8 b	3.5	3.1	4.3	4	4.3	4.8	4.1	4.2	4.2	5
"HTC,PC_EMP,T,UKD4"	2.7	3.1 b	2.8	2.7	3.3	3	2.2	2.6	2.4	2.5	3	2.9
"HTC,PC_EMP,T,UKD6"	5.9	6.7 b	5.8	5.6	5.8	7.3	8.1	7.1	7.6	5.8	7.5	6.4
"HTC,PC_EMP,T,UKD7"	3.5	3.8 b	3.6	2.9	2.7	3.1	3.6	4.3	4	2.7	2.4	3.3
"HTC,PC_EMP,T,UKE1"	4	2.9 b	1.6 u	2.2 u	1.8 u	2.0 u	2.8	2.7	2.0 u	2.7	2.7	3.3
"HTC,PC_EMP,T,UKE2"	3	4.4 b	2.8	2.3 u	2.9	3	3	3.2	2.4 u	2.9	4.1	3.4
"HTC,PC_EMP,T,UKE3"	2.3	3.1 b	2.4	2	2.5	3.3	2.5	2.4	3.1	2.4	2.8	3.1
"HTC,PC_EMP,T,UKE4"	4.3	2.8 b	2.5	2.8	2.9	3.2	3.4	3.6	3	3.5	3.4	3.5
"HTC,PC_EMP,T,UKF1"	4.5	3.9 b	3	3.5	3.6	3.7	4.1	4.1	3.7	3.7	4	3.6
"HTC,PC_EMP,T,UKF2"	3.9	4.0 b	2.9	3.7	4	3.2	3.4	4	4.5	4.8	4.9	3.9
"HTC,PC_EMP,T,UKF3"	1.8 u	2.7 bu	1.4 u	1.9 u	1.8 u	1.8 u	2.0 u	2.5 u	2.3 u	2.8 u	2.5 u	1.6 u
"HTC,PC_EMP,T,UKG1"	5.2	4.1 b	3.7	3.1	3.2	4.1	5	4.9	3.8	4.6	4.9	4.9
"HTC,PC_EMP,T,UKG2"	3.7	3.1 b	3.1	2.8	3.5	3.6	3.8	3	4	4.2	2.9	3.2
"HTC,PC_EMP,T,UKG3"	2.8	3.2 b	2.3	2.8	2.9	2.5	3.1	3.6	3.4	2.2	2.6	2.7
"HTC,PC_EMP,T,UKH1"	6	5.5 b	4.8	5.3	4.4	4.9	5.2	5.3	5.4	5.6	6	6.3
"HTC,PC_EMP,T,UKH2"	7.2	8.9 b	7.3	7.7	7.6	7.4	7.1	6.4	7	7.5	6.8	6.6
"HTC,PC_EMP,T,UKH3"	4.1	4.3 b	2.7	3.6	3.5	3.8	4.1	3.2	3	3.5	3.3	3.7
"HTC,PC_EMP,T,UKI1"	: 	7.1 b	6.5	: 	: 	: 	: 	: 	: 	: 	: 	: 
"HTC,PC_EMP,T,UKI2"	: 	7.1 b	6.3	: 	: 	: 	: 	: 	: 	: 	: 	: 
"HTC,PC_EMP,T,UKI3"	8.2	: 	: 	6.2	8.6	5.8	8.2	7.7	9.7	10	9.9	8.2
"HTC,PC_EMP,T,UKI4"	8.9	: 	: 	5.7	5.8	6.4	6.5	7.3	7.3	6.6	7.1	7.6
"HTC,PC_EMP,T,UKI5"	5.1	: 	: 	4.7	3.3	3.4	4.2	2.8	3.9	4.9	5.1	5.6
"HTC,PC_EMP,T,UKI6"	7.5	: 	: 	4.2	6	6.2	5.6	6	6.8	6.5	7.3	6.5
"HTC,PC_EMP,T,UKI7"	9.1	: 	: 	7.9	8.4	9.4	9	8.2	8	8.6	7.9	8.9
"HTC,PC_EMP,T,UKJ1"	11.9	10.2 b	10.5	10.1	10.3	9.6	10.3	11	10.4	10.9	10.9	10.9
"HTC,PC_EMP,T,UKJ2"	6.6	6.0 b	5.8	5.3	5.6	6.5	6.3	6.3	7.1	7.1	7.2	6.7
"HTC,PC_EMP,T,UKJ3"	7.1	7.6 b	5.6	5.2	6.4	5.9	5.5	6.4	6.1	6.2	5.6	5.9
"HTC,PC_EMP,T,UKJ4"	3.5	4.0 b	3.5	3.4	3.1	3.5	3.4	3.7	4	3.5	3.2	3.1
"HTC,PC_EMP,T,UKK1"	4.8	4.9 b	4.8	5.7	5.6	5.3	5.2	5.6	6.5	5.5	5.4	4.9
"HTC,PC_EMP,T,UKK2"	4.1	3.9 b	3.6	3.1	3.1	3.2	3.5	3.5	3.8	3.9	3.9	4.1
"HTC,PC_EMP,T,UKK3"	2.2 u	2.2 bu	: u	: u	: u	: u	2.3 u	2.0 u	1.7 u	2.0 u	2.9 u	2.2 u
"HTC,PC_EMP,T,UKK4"	3.2	3.5 b	3.1	3.2	2.5	2.8	2.8	3.6	3.9	2.9	3.2	3
"HTC,PC_EMP,T,UKL1"	2.5	3.0 b	2.3	2	2.4	2.4	2.6	2.3	2.8	2.2	2.2	2.7
"HTC,PC_EMP,T,UKL2"	3.7	4.2 b	3.2	3.1	3.4	3.9	3.8	4.1	3.9	3.5	5.4	4.7
"HTC,PC_EMP,T,UKM2"	: 	4.7 b	3.6	3.9	3.9	4	: 	: 	: 	: 	: 	: 
"HTC,PC_EMP,T,UKM3"	: 	4.3 b	3.3	4.2	3.7	4	: 	: 	: 	: 	: 	: 
"HTC,PC_EMP,T,UKM5"	3.5 u	2.4 bu	1.9 u	1.9 u	2.5 u	2.3 u	2.5 u	3.9	2.1 u	2.0 u	1.7 u	: u
"HTC,PC_EMP,T,UKM6"	3.0 u	2.4 bu	: u	2.0 u	1.8 u	2.1 u	2.4 u	1.8 u	1.8 u	: u	2.6 u	2.5 u
"HTC,PC_EMP,T,UKM7"	4	: 	: 	: 	: 	: 	3.9	4.4	4.5	4.7	4.8	4.9
"HTC,PC_EMP,T,UKM8"	4	: 	: 	: 	: 	: 	4.2	3.2	3.7	4.7	4.7	3.5
"HTC,PC_EMP,T,UKM9"	2.6	: 	: 	: 	: 	: 	2.5	2.2	2.2	3.1	3.1	2.7
"HTC,PC_EMP,T,UKN0"	3.9	3.8 b	3.2	2.9	3.2	2.9	3.3	3.2	2.7	2.8	2.5	3.3