"prof_pos,sex,sectperf,unit,geo\time"	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980
"TOTAL,T,TOTAL,PC_EMP_HC,ES5"	1.9686	1.9136	1.9026	1.8972	1.9392	1.9272	1.928	1.8666	1.8776	1.8307	1.6602	1.5272	1.4693	1.3968	1.4295	1.3918	1.2926	1.1035	: 	1.0325	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ES51"	2.2687	2.1978	2.1743	2.1843	2.1842	2.2559	2.2365	2.0962	2.1427	2.1235	1.9511	1.7972	1.758	1.6251	1.7007	1.6476	1.5113	1.2538	: 	1.226	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ES52"	1.8087	1.7673	1.7859	1.7464	1.8564	1.7042	1.7248	1.7396	1.6959	1.6225	1.4334	1.3101	1.2386	1.2384	1.2261	1.2198	1.1597	1.0361	: 	0.8759	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ES53"	0.75	0.7247	0.6962	0.7174	0.7102	0.7064	0.7231	0.7998	0.8094	0.7029	0.6109	0.5823	0.4438	0.4455	0.3967	0.3307	0.3145	0.3274	: 	0.2596	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ES6"	1.4966	1.4976	1.4733	1.5185	1.5289	1.5796	1.5329	1.4938	1.4819	1.4013	1.2726	1.1829	1.1958	1.0948	1.0761	1.0655	0.9538	0.99	: 	0.9495	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ES61"	1.4854	1.4952	1.4751	1.5319	1.5571	1.6186	1.5652	1.5281	1.513	1.4296	1.3008	1.2021	1.2384	1.0893	1.0891	1.0732	0.9843	1.025	: 	0.9648	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ES62"	1.6519	1.6228	1.5767	1.5698	1.5083	1.5195	1.4952	1.4438	1.4402	1.367	1.1983	1.1432	1.0387	1.1899	1.0759	1.0936	0.8814	0.9066	: 	0.9639	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ES63"	: c	: c	: c	0.2677	0.28	0.1367	0.1687	0.1466	0.145	0.1232	0.3577	0.3061	0.3315	0.2793	0.2918	0.568 d	0 d	0	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ES64"	: c	: c	: c	0.217	0.2593	0.248	0.2656	0.2395	0.2438	0.2338	0.5294	0.5481	0.4473	0.3303	0.3156	0 d	0 d	0	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ES7"	0.7152	0.7242	0.7281	0.7302	0.7712	0.824	0.8641	0.8716	0.8654	0.7985	0.7702	0.7762	0.8386	0.866	0.8253	0.7964	0.8884	0.6784	: 	0.6397	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ES70"	0.7152	0.7242	0.7281	0.7302	0.7712	0.824	0.8641	0.8716	0.8654	0.7985	0.7702	0.7762	0.8386	0.866	0.8253	0.7964	0.8884	0.6784	: 	0.6397	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,EU27_2020"	: 	2.1319	: 	2.0172 e	: 	1.9578	: 	1.8528	: 	1.6924 e	: 	1.5729 e	: 	1.514 e	: 	1.4616 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,EU28"	: 	2.1696	: 	2.0473 e	: 	1.9788	: 	1.8714	1.7893 e	1.7056 e	: 	1.5955 e	: 	1.535 e	: 	1.4847 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,FI"	2.9982	3.0221	3.0415	3.2133	3.24	3.2852	3.265	3.3285	3.3186	3.28	3.1754	3.2333	3.3076	3.2496	3.2702	3.1886	3.1062	2.9697	2.9686	2.9358	2.7829	2.6411	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,FI1"	2.9239	2.9523	2.9732	3.1401	: 	3.2284	3.213	3.2828	3.2862	3.2513	3.1496	3.2075	3.2873	3.2356	3.2334	3.1315	3.0537	2.9194	2.9218	2.8851	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,FI19"	2.5407	2.5684	2.5607	2.795	: 	2.8107	2.7807	2.8895	2.8753	2.8879	2.8408	2.8754	3.0777	2.9852	2.9221	2.7833	2.6686	2.5682	2.5469	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,FI1B"	4.0295	4.0748	4.0819	4.3615	: 	4.3765	4.3723	4.4895	4.4835	4.4345	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,FI1C"	1.9192	1.9481	2.05	2.1487	: 	2.372	2.3137	2.3225	2.2744	2.1565	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,FI1D"	2.6089	2.6129	2.6118	2.6092	: 	2.7985	2.8515	2.8692	2.9615	2.9883	2.8472	3.0595	2.9591	2.8421	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,FI2"	0.5817	0.4231	0.4494	0.391	: 	0.7733	0.5124	0.6554	0.2181	0.3375	0.3677	0.3265	0.3494	0.2574	0.2758	0.2937	0.3083	0.2662	0.2633	0.1074	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,FI20"	0.5817	0.4231	0.4494	0.391	: 	0.7733	0.5124	0.6554	0.2181	0.3375	0.3677	0.3265	0.3494	0.2574	0.2758	0.2937	0.3083	0.2662	0.2633	0.1074	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,FR"	: 	2.3376 p	2.2824	: 	2.2055	2.2041	2.1657	2.077	2.0042 b	1.8369	1.7925	1.7219	1.7715	1.692	1.6851	1.6538	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,FR1"	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.3928	2.9236	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,FR10"	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.3928	2.9236	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,FR2"	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.9815	0.8982	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,FR21"	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.6236	0.5978	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,FR22"	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.8383	0.7158	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,FR23"	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.0399	0.9194	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,FR24"	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.2336	1.1762	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,FR25"	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.9813	0.9031	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,FR26"	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.9584	0.8714	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,FR3"	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.7554	0.637	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,FR30"	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.7554	0.637	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,FR4"	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.2469	1.1241	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,FR41"	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.9969	0.867	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,FR42"	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.4347	1.2132	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,FR43"	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.4586	1.5092	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,FR5"	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.1172	0.9457	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,FR51"	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.0678	0.8239	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,FR52"	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.3048	1.2561	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,FR53"	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.8289	0.6294	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,FR6"	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.6503	1.4116	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,FR61"	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.1974	1.0606	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,FR62"	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.3952	1.9733	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,FR63"	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.8389	0.7441	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,FR7"	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.9755	1.7428	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,FR71"	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.0307	1.7899	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,FR72"	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.7105	1.5221	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,FR8"	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.8981	1.5883	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,FR81"	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.9721	1.6493	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,FR82"	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.8876	1.5971	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,FR83"	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.0207	0.5028	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,FRA"	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.5974	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,HR"	1.3022	1.2233	1.189	1.1134	1.0732	1.1381	1.1048	1.0895	1.1194	1.0598	1.0161	1.007	1.0718	1.06	1.3107	1.1578	1.1212	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,HR0"	1.2825	1.2066	1.1719	1.0949	1.0569	1.1157	1.0779	1.0621	1.0921	1.0303	0.99	0.9839	1.0324	1.0189	1.247	1.1194	1.086	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,HR03"	0.8366	0.8081	0.7803	0.6881	0.7089	0.7917	0.78	0.7739	0.7467	0.6979	0.6754	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,HR04"	1.4893	1.4013	1.356	1.2894	1.2264	1.2688	1.219	1.1949	1.2543	1.1828	1.1334	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,HU"	1.7998 b	1.3934	1.268	1.3466	1.405	1.5087	1.4892	1.4873	1.4588	1.413	1.3169	1.278	1.2913	1.2819	1.2804 b	1.2492 d	1.2656 d	1.1864 d	1.1909	1.1167 d	1.1298 d	1.1084 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,HU1"	3.4149 b	2.5735	2.3688	2.5894	2.6061	2.656	2.5854	2.6616	2.6286	2.4753	2.3301	2.306	2.2768	2.2208	2.2305	2.287	2.3361	2.2333	2.3033	2.0832	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,HU10"	: 	: 	2.3688	2.5894	2.6061	2.656	2.5854	2.6616	2.6286	2.4753	2.3301	2.306	2.2768	2.2208	2.2305	2.287	2.3361	2.2333	2.3033	2.0832	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,HU11"	5.2869 b	3.9032	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,HU12"	0.7925 b	0.6284	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,HU2"	1.0289 b	0.7856	0.6628	0.6746	0.7382	0.8663	0.8554	0.8088	0.7807	0.784	0.7552	0.6759	0.7865	0.7573	0.7825	0.6547	0.6502	0.6527	0.6356	0.5451	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,HU21"	0.9257 b	0.7437	0.6852	0.704	0.7428	0.8461	0.9091	0.6923	0.6375	0.6373	0.5753	0.5567	0.6061	0.5778	0.5752	0.5657	0.5351	0.5144	0.5672	0.4641	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,HU22"	0.9367 b	0.6648	0.5523	0.5657	0.6876	0.8055	0.6919	0.8068	0.7883	0.7655	0.6598	0.6237	0.6122	0.5464	0.5328	0.5461	0.6195	0.6381	0.5154	0.512	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,HU23"	1.2853 b	0.9954	0.7696	0.7703	0.7946	0.9669	0.9905	0.9694	0.9537	0.9955	1.1236	0.9092	1.239	1.2443	1.3505	0.9015	0.8399	0.8464	0.8694	0.6893	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,HU3"	0.9877 b	0.831	0.7738	0.8097	0.8985	1.014	1.0232	1.197	0.988	0.9754	0.877	0.8758	0.8581	0.901	0.8849	0.8865	0.897	0.7865	0.7388	0.7933	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,HU31"	0.584 b	0.5293	0.4561	0.5024	0.5572	0.7044	0.6826	0.6721	0.7008	0.685	0.5815	0.5843	0.5643	0.53	0.5648	0.5444	0.5968	0.5044	0.4462	0.453	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,HU32"	0.9087 b	0.8246	0.7832	0.7992	0.8374	0.9288	1.0403	1.0078	1.008	1.0083	0.9654	0.9394	0.8485	0.9411	0.9183	0.873	0.8707	0.8307	0.8548	0.8106	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,HU33"	1.4273 b	1.0963	1.0331	1.0863	1.258	1.3669	1.2813	1.2791	1.203	1.185	1.0341	1.0574	1.1239	1.1771	1.1308	1.209	1.186	0.98	0.8696	1.0591	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,IE"	: 	2.3746	: 	2.3435	: 	2.5177	1.2399	1.9681	1.7898 e	1.7195	1.5126	1.4174	1.4332	1.4128	1.3904	1.3611	1.3491	1.3538	1.2116	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,IE0"	: 	2.2998	: 	2.3932	: 	2.1204	: 	1.9177	1.7465 e	1.681	1.4803	1.389	1.4657	1.4483	1.4478	1.4048	1.3883	: 	1.2621	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,IE01"	: 	3.6936	: 	1.1366	: 	1.3787	: 	1.3437	1.5812 e	1.5199	1.3234	1.2331	1.349	1.3292	1.1	0.98	0.9938	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,IE02"	: 	2.1011	: 	2.8186	: 	2.3749	: 	2.1129	1.803 e	1.7359	1.5341	1.4429	1.5058	1.4894	1.567	1.5467	1.5183	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,IS"	3.2984	3.3885	3.3817	3.3138	: 	2.9727 b	: 	3.0138 b	: 	3.1944	3.3562	3.2306	3.8079	3.7169	: 	3.6685	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,IS0"	3.2984	3.3885	3.3817	3.3138	: 	2.9727 b	: 	3.0138 b	: 	3.1944	3.3562	3.2306	3.8079	3.7169	: 	3.6685	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,IS00"	3.2984	3.3885	3.3817	3.3138	: 	2.9727 b	: 	3.0138 b	: 	3.1944	3.3562	3.2306	3.8079	3.7169	: 	3.6685	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,IT"	2.3316	2.1507	1.9571 b	1.7731	1.7016	1.712	1.6448	1.562	1.5719	1.588	1.5563	1.4856	1.3672	1.2573	1.1605	1.151	1.1783	1.1152	1.1021	1.0589	1.1004	: 	0.9384	0.9322	0.925	0.8913	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
